label1,count1
hormoscilla oscillatoria spongeliae,556
robiginitalea spp.,570
spirochaeta spp.,577
ignavibacterium spp.,597
granulosicoccus spp.,626
winogradskyella spp.,634
crenothrix spp.,680
acidithiobacillus spp.,700
muricola spp.,711
leucothrix spp.,883
desulfobulbus spp.,930
candidatus_thiobios spp.,943
actibacter spp.,991
desulfuromonas spp.,992
rhodopirellula spp.,1181
eudoraea spp.,2176
mitochondria spp.,2663
desulfosarcina spp.,3451
balneatrix spp.,6073
nannocystineae spp.,11497